CLAVE DE INMUEBLE,TECNOLOGIA INSTALADA,ANCHO DE BANDA CONTRATADO 2014,INSTITUCION,NOMBRE DEL CENTRO,TURNO/HORARIO,NIVEL,REGION,MUNICIPIO,LOCALIDAD,DOMICILIO,CODIGO POSTAL,LONGITUD,LATITUD,ESTATUS
1410054K, iMAX,2 MB,SEJ,EFRAIN GONZALEZ LUNA,MATUTINO,PRIMARIA,CENTRO,ZAPOPAN,LOMAS DE LA PRIMAVERA,AZALEA 1002,45065,-103.4703889,20.6441944,SIN SERVICIO
1410065F, iMAX,2 MB,SEJ,MARGARITA MAZA DE JUAREZ,MATUTINO,PREESCOLAR,CENTRO,IXTLAHUACAN DEL RIO,TACOTLAN (TLACOTAN),MIGUEL HIDALGO #89,45260,-103.1884722,20.8163889,SIN SERVICIO
1410070J, iMAX,2 MB,SEJ,MIGUEL LERDO DE TEJADA,MATUTINO,PREESCOLAR,CENTRO,IXTLAHUACAN DEL RIO,PALOS ALTOS,CONOCIDO,45270,-103.1550556,20.8649722,SIN SERVICIO
1410076A, iMAX,2 MB,SEJ,ADOLFO LOPEZ MATEOS,MATUTINO,PREESCOLAR,CENTRO,ZAPOPAN,COPALITA,CONOCIDO,45200,-103.4379306,20.8030556,SIN SERVICIO
1410106J, iMAX,2 MB,SEJ,GABRIELA MISTRAL,MATUTINO,PREESCOLAR,CENTRO,CUQUIO,LOS ZAPOTES,CONOCIDO,45480,-102.9279194,20.9769389,SIN SERVICIO
1410107C, iMAX,2 MB,SEJ,CARMEN RAMOS DEL RIO,MATUTINO,PREESCOLAR,CENTRO,CUQUIO,LOS CAPULINES,CONOCIDO,45486,-102.9154194,21.0061028,SIN SERVICIO
1410108G, iMAX,2 MB,SEJ,CRISTOBAL COLON,MATUTINO,PREESCOLAR,CENTRO,CUQUIO,EL TERRERO,CONOCIDO,45480,-102.9668083,20.9586056,SIN SERVICIO
1410112G, iMAX,2 MB,SEJ,ROSAURA ZAPATA,MATUTINO,PREESCOLAR,CENTRO,CUQUIO,LOS SAUCES DE PEREZ,CONOCIDO,45480,-102.9415306,20.9569389,SIN SERVICIO
1410117E, iMAX,2 MB,SEJ,JOSE MARIA MORELOS Y PAVON,MATUTINO,PREESCOLAR,CENTRO,ZAPOPAN,FRACCIONAMIENTO LOS FLAMINGOS,CONOCIDO,45200,-103.4521,20.8341667,SIN SERVICIO
1410120A, iMAX,2 MB,SEJ,FRAY PEDRO DE GANTE,MATUTINO,PRIMARIA,CENTRO,ZAPOPAN,EL CRUCERO (CRUCERO DE AMECA),CONOCIDO,45100,-103.6040472,20.7338917,SIN SERVICIO
1410124F, iMAX,2 MB,SEJ,VICENTE SUAREZ,MATUTINO,PRIMARIA,CENTRO,IXTLAHUACAN DEL RIO,EL CHILAR,LOCALIDAD EL CHILAR ,45260,-103.2955833,20.8368056,SIN SERVICIO
1410128K, iMAX,2 MB,SEJ,20 DE OVIEMBRE,MATUTINO,PRIMARIA,CENTRO,IXTLAHUACAN DEL RIO,MASCUALA,CONOCIDO ,45260,-103.2757,20.7688,SIN SERVICIO
1410132K, iMAX,2 MB,SEJ,MARIANO MATAMOROS,MATUTINO,PRIMARIA,CENTRO,IXTLAHUACAN DEL RIO,SAN JOSE DE BUENAVISTA,CONOCIDO MUNCIPIO IXTLAHUACAN DEL RIO,45260,-103.1,20.8647222,SIN SERVICIO
1410135A, iMAX,2 MB,SEJ,1 DE MAYO,MATUTINO,PRIMARIA,CENTRO,CUQUIO,EL BAJIO DE LOS GALLOS,LOC. EL BAJIO DE LOS GALLOS ,45480,-102.9939444,20.8368611,SIN SERVICIO
1410141X, iMAX,2 MB,SEJ,OBLATOS,MATUTINO,PRIMARIA,CENTRO,ZAPOPAN,SAN ESTEBAN (SAN MIGUEL TATEPOSCO),CONOCIDO SAN MIGUEL TATEPOSCO,45205,-103.3783333,20.8063889,SIN SERVICIO
1410145C, iMAX,2 MB,SEJ,ADOLFO LOPEZ MATEOS,MATUTINO,PRIMARIA,CENTRO,ZAPOPAN,EL MARTEL,CONOCIDO,45150,-103.4365444,20.8408333,SIN SERVICIO
1410146G, iMAX,2 MB,SEJ,RAMON CORONA,MATUTINO,PRIMARIA,CENTRO,ZAPOPAN,LA MOJONERA,CONOCIDO,45019,-103.4712667,20.7358361,SIN SERVICIO
1410147K, iMAX,2 MB,SEJ,PEDRO MORENO,MATUTINO,PRIMARIA,CENTRO,CUQUIO,OJO DE AGUA COLORADA (OJO DE AGUA),CONOCIDO OJO DE AGUA COLORADA,45480,-103.03125,20.8095278,SIN SERVICIO
1410151K, iMAX,2 MB,SEJ,SIMON BOLIVAR,MATUTINO,PRIMARIA,CENTRO,CUQUIO,LOS SAUCES DE PEREZ,CONOCIDO,45480,-102.9415306,20.9569389,SIN SERVICIO
1410152D, iMAX,2 MB,SEJ,BENITO JUAREZ,MATUTINO,PRIMARIA,CENTRO,IXTLAHUACAN DEL RIO,SAN PABLO,SAN PABLO MPIO. IXTLAHUACAN DEL RIO,45260,-103.1741944,20.7736667,SIN SERVICIO
1410155E, iMAX,2 MB,SEJ,JUSTO SIERRA,MATUTINO,PRIMARIA,CENTRO,CUQUIO,LOS ZAPOTES,CONOCIDO,45480,-102.9279194,20.9769389,SIN SERVICIO
1410156X, iMAX,2 MB,SEJ,FRANCISCO VILLA,MATUTINO,PRIMARIA,CENTRO,CUQUIO,EL SAUZ,CONOCIDO,45480,-102.9662528,21.0694333,SIN SERVICIO
1410157B, iMAX,2 MB,SEJ,BENEMERITO DE LAS AMERICAS,MATUTINO,PRIMARIA,CENTRO,IXTLAHUACAN DEL RIO,EL SALVIAL,EL SALVIAL,45260,-103.2628611,20.83925,SIN SERVICIO
1410158F, iMAX,2 MB,SEJ,BENITO JUAREZ,VESPERTINO,PRIMARIA,CENTRO,CUQUIO,EL DERRAMADERO,CONOCIDO,45480,-102.9754194,21.0049917,SIN SERVICIO
1410159J, iMAX,2 MB,SEJ,JESUS GONZALEZ ORTEGA,MATUTINO,PRIMARIA,CENTRO,IXTLAHUACAN DEL RIO,SAN MIGUEL DE ABAJO,CONOCIDO SAN MIGUEL DE ABAJO,45260,-103.2708889,20.8213889,SIN SERVICIO
1410162F, iMAX,2 MB,SEJ,CUAUHTEMOC,VESPERTINO,PRIMARIA,CENTRO,IXTLAHUACAN DEL RIO,LAS TRANCAS,CONOCIDO IXTLAJUACAN DE RIO,45260,-103.2625,20.7813889,SIN SERVICIO
1410163J, iMAX,2 MB,SEJ,MELCHOR OCAMPO,VESPERTINO,PRIMARIA,CENTRO,IXTLAHUACAN DEL RIO,LA PE_A (LA PE_A DE SAN RAFAEL),LA PE—A,45260,-103.2208333,20.9147222,SIN SERVICIO
